EF ID,IPCC 1996 Source/Sink Category,IPCC 2006 Source/Sink Category,Gas,Type of parameter,Description,Technologies / Practices,Parameters / Conditions,Region / Regional Conditions,Abatement / Control Technologies,Other properties,Value,Unit,Equation,IPCC Worksheet,Technical Reference,Source of data,Data provider
,1B2b3 - Other leakage,1.B.2.b.ii - Flaring,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
124621 ,1B2a6 - Other (please specify),1.B.2.a.ii - Flaring,CARBON DIOXIDE,2006 IPCC default ,Carbon dioxide emission factor for fugitive emissions from oil and gas operations - Well testing (flaring and venting) ,Well Testing ,Flaring and venting ,Developed country ,,,0.009 ,Gg per 10^3 m^3 total oil production ,Equation 4.2.1 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories ,Worksheet 1B.2 (sheet 1 of 2) ,"American Petroleum Institute. 2004. Compendium of Greenhouse Gas Emissions Estimation Methodologies for the Oil and Gas Industry. Washington, DC; Canadian Association of Petroleum Producers (1999). CH4 and VOC Emissions From The Canadian Upstream Oil and Gas Industry. Volumes 1 to 4. Calgary, AB; Canadian Association of Petroleum Producers (2004). A National Inventory of Greenhouse Gas (GHG), Criteria Air Contaminant (CAC) and Hydrogen Sulphide (H2S) Emissions by the Upstream Oil and Gas Industry. Volumes 1 to 5. Calgary, AB; Gas Research Institute and US Environmental Protection Agency (1996). Methane Emissions from the Natural gas Industry. Volumes 1 to 15. Chicago, IL; US EPA (1999). Methane Emissions from the U.S. Petroleum Industry. EPA Report No. EPA-600/R-99-010, p. 158, prepared by Radian International LLC for United States Environmental Protection Agency, Office of Research and Development. ","2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 2, Chapter 4, Table 4.2.4 ",IPCC TFI TSU 
,1B2b3 - Other leakage,1.B.2.b.ii - Flaring,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
124622 ,1B2a6 - Other (please specify),1.B.2.a.ii - Flaring,NON METHANE VOLATILE ORGANIC COMPOUNDS,2006 IPCC default ,NMVOC emission factor for fugitive emissions from oil and gas operations - Well testing (flaring and venting) ,Well Testing ,Flaring and venting ,Developed country ,,,0.000012 ,Gg per 10^3 m^3 total oil production ,Equation 4.2.1 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories ,Worksheet 1B.2 (sheet 1 of 2) ,"American Petroleum Institute. 2004. Compendium of Greenhouse Gas Emissions Estimation Methodologies for the Oil and Gas Industry. Washington, DC; Canadian Association of Petroleum Producers (1999). CH4 and VOC Emissions From The Canadian Upstream Oil and Gas Industry. Volumes 1 to 4. Calgary, AB; Canadian Association of Petroleum Producers (2004). A National Inventory of Greenhouse Gas (GHG), Criteria Air Contaminant (CAC) and Hydrogen Sulphide (H2S) Emissions by the Upstream Oil and Gas Industry. Volumes 1 to 5. Calgary, AB; Gas Research Institute and US Environmental Protection Agency (1996). Methane Emissions from the Natural gas Industry. Volumes 1 to 15. Chicago, IL; US EPA (1999). Methane Emissions from the U.S. Petroleum Industry. EPA Report No. EPA-600/R-99-010, p. 158, prepared by Radian International LLC for United States Environmental Protection Agency, Office of Research and Development. ","2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 2, Chapter 4, Table 4.2.4 ",IPCC TFI TSU 
,1B2b3 - Other leakage,1.B.2.b.ii - Flaring,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
124623 ,1B2a6 - Other (please specify),1.B.2.a.ii - Flaring,NITROUS OXIDE,2006 IPCC default ,Nitrous oxide emission factor for fugitive emissions from oil and gas operations - Well testing (flaring and venting) ,Well Testing ,Flaring and venting ,Developed country ,,,0.000000068 ,Gg per 10^3 m^3 total oil production ,Equation 4.2.1 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories ,Worksheet 1B.2 (sheet 1 of 2) ,"American Petroleum Institute. 2004. Compendium of Greenhouse Gas Emissions Estimation Methodologies for the Oil and Gas Industry. Washington, DC; Canadian Association of Petroleum Producers (1999). CH4 and VOC Emissions From The Canadian Upstream Oil and Gas Industry. Volumes 1 to 4. Calgary, AB; Canadian Association of Petroleum Producers (2004). A National Inventory of Greenhouse Gas (GHG), Criteria Air Contaminant (CAC) and Hydrogen Sulphide (H2S) Emissions by the Upstream Oil and Gas Industry. Volumes 1 to 5. Calgary, AB; Gas Research Institute and US Environmental Protection Agency (1996). Methane Emissions from the Natural gas Industry. Volumes 1 to 15. Chicago, IL; US EPA (1999). Methane Emissions from the U.S. Petroleum Industry. EPA Report No. EPA-600/R-99-010, p. 158, prepared by Radian International LLC for United States Environmental Protection Agency, Office of Research and Development. ","2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 2, Chapter 4, Table 4.2.4 ",IPCC TFI TSU 
,1B2b3 - Other leakage,1.B.2.b.ii - Flaring,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
124624 ,1B2a6 - Other (please specify),1.B.2.a.ii - Flaring,METHANE,2006 IPCC default ,Methane emission factor for fugitive emissions from oil and gas operations - Well servicing (flaring and venting) ,Well Servicing ,Flaring and venting ,Developed country ,,,0.00011 ,Gg per 10^3 m^3 total oil production ,Equation 4.2.1 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories ,Worksheet 1B.2 (sheet 1 of 2) ,"American Petroleum Institute. 2004. Compendium of Greenhouse Gas Emissions Estimation Methodologies for the Oil and Gas Industry. Washington, DC; Canadian Association of Petroleum Producers (1999). CH4 and VOC Emissions From The Canadian Upstream Oil and Gas Industry. Volumes 1 to 4. Calgary, AB; Canadian Association of Petroleum Producers (2004). A National Inventory of Greenhouse Gas (GHG), Criteria Air Contaminant (CAC) and Hydrogen Sulphide (H2S) Emissions by the Upstream Oil and Gas Industry. Volumes 1 to 5. Calgary, AB; Gas Research Institute and US Environmental Protection Agency (1996). Methane Emissions from the Natural gas Industry. Volumes 1 to 15. Chicago, IL; US EPA (1999). Methane Emissions from the U.S. Petroleum Industry. EPA Report No. EPA-600/R-99-010, p. 158, prepared by Radian International LLC for United States Environmental Protection Agency, Office of Research and Development. ","2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 2, Chapter 4, Table 4.2.4 ",IPCC TFI TSU 
,1B2b3 - Other leakage,1.B.2.b.ii - Flaring,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
124625 ,1B2a6 - Other (please specify),1.B.2.a.ii - Flaring,CARBON DIOXIDE,2006 IPCC default ,Carbon dioxide emission factor for fugitive emissions from oil and gas operations - Well servicing (flaring and venting) ,Well Servicing ,Flaring and venting ,Developed country ,,,0.0000019 ,Gg per 10^3 m^3 total oil production ,Equation 4.2.1 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories ,Worksheet 1B.2 (sheet 1 of 2) ,"American Petroleum Institute. 2004. Compendium of Greenhouse Gas Emissions Estimation Methodologies for the Oil and Gas Industry. Washington, DC; Canadian Association of Petroleum Producers (1999). CH4 and VOC Emissions From The Canadian Upstream Oil and Gas Industry. Volumes 1 to 4. Calgary, AB; Canadian Association of Petroleum Producers (2004). A National Inventory of Greenhouse Gas (GHG), Criteria Air Contaminant (CAC) and Hydrogen Sulphide (H2S) Emissions by the Upstream Oil and Gas Industry. Volumes 1 to 5. Calgary, AB; Gas Research Institute and US Environmental Protection Agency (1996). Methane Emissions from the Natural gas Industry. Volumes 1 to 15. Chicago, IL; US EPA (1999). Methane Emissions from the U.S. Petroleum Industry. EPA Report No. EPA-600/R-99-010, p. 158, prepared by Radian International LLC for United States Environmental Protection Agency, Office of Research and Development. ","2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 2, Chapter 4, Table 4.2.4 ",IPCC TFI TSU 
,1B2b3 - Other leakage,1.B.2.b.ii - Flaring,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
124626 ,1B2a6 - Other (please specify),1.B.2.a.ii - Flaring,NON METHANE VOLATILE ORGANIC COMPOUNDS,2006 IPCC default ,NMVOC emission factor for fugitive emissions from oil and gas operations - Well servicing (flaring and venting) ,Well Servicing ,Flaring and venting ,Developed country ,,,0.000017 ,Gg per 10^3 m^3 total oil production ,Equation 4.2.1 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories ,Worksheet 1B.2 (sheet 1 of 2) ,"American Petroleum Institute. 2004. Compendium of Greenhouse Gas Emissions Estimation Methodologies for the Oil and Gas Industry. Washington, DC; Canadian Association of Petroleum Producers (1999). CH4 and VOC Emissions From The Canadian Upstream Oil and Gas Industry. Volumes 1 to 4. Calgary, AB; Canadian Association of Petroleum Producers (2004). A National Inventory of Greenhouse Gas (GHG), Criteria Air Contaminant (CAC) and Hydrogen Sulphide (H2S) Emissions by the Upstream Oil and Gas Industry. Volumes 1 to 5. Calgary, AB; Gas Research Institute and US Environmental Protection Agency (1996). Methane Emissions from the Natural gas Industry. Volumes 1 to 15. Chicago, IL; US EPA (1999). Methane Emissions from the U.S. Petroleum Industry. EPA Report No. EPA-600/R-99-010, p. 158, prepared by Radian International LLC for United States Environmental Protection Agency, Office of Research and Development. ","2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 2, Chapter 4, Table 4.2.4 ",IPCC TFI TSU 
,1B2b3 - Other leakage,1.B.2.b.ii - Flaring,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
124676 ,1B2a3 - Transport,1.B.2.a.iii.3 - Transport,METHANE,2006 IPCC default ,Methane emission factor for fugitive emissions from gas operations - Natural gas liquids transport (condensate) ,"Natural Gas Liquids Transport, Condensate ",,Developed country ,,,0.00011 ,Gg per 10^3 m^3 Condensate and Pentanes Plus ,Equation 4.2.1 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories ,Worksheet 1B.2 (sheet 2 of 2) ,"American Petroleum Institute. 2004. Compendium of Greenhouse Gas Emissions Estimation Methodologies for the Oil and Gas Industry. Washington, DC; Canadian Association of Petroleum Producers (1999). CH4 and VOC Emissions From The Canadian Upstream Oil and Gas Industry. Volumes 1 to 4. Calgary, AB; Canadian Association of Petroleum Producers (2004). A National Inventory of Greenhouse Gas (GHG), Criteria Air Contaminant (CAC) and Hydrogen Sulphide (H2S) Emissions by the Upstream Oil and Gas Industry. Volumes 1 to 5. Calgary, AB; Gas Research Institute and US Environmental Protection Agency (1996). Methane Emissions from the Natural gas Industry. Volumes 1 to 15. Chicago, IL; US EPA (1999). Methane Emissions from the U.S. Petroleum Industry. EPA Report No. EPA-600/R-99-010, p. 158, prepared by Radian International LLC for United States Environmental Protection Agency, Office of Research and Development. ","2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 2, Chapter 4, Table 4.2.4 ",IPCC TFI TSU 
,,,,,,,,,,,,,,,,,
124677 ,1B2a3 - Transport,1.B.2.a.iii.3 - Transport,CARBON DIOXIDE,2006 IPCC default ,Carbon dioxide emission factor for fugitive emissions from gas operations - Natural gas liquids transport (condensate) ,"Natural Gas Liquids Transport, Condensate ",,Developed country ,,,0.0000072 ,Gg per 10^3 m^3 Condensate and Pentanes Plus ,Equation 4.2.1 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories ,Worksheet 1B.2 (sheet 2 of 2) ,"American Petroleum Institute. 2004. Compendium of Greenhouse Gas Emissions Estimation Methodologies for the Oil and Gas Industry. Washington, DC; Canadian Association of Petroleum Producers (1999). CH4 and VOC Emissions From The Canadian Upstream Oil and Gas Industry. Volumes 1 to 4. Calgary, AB; Canadian Association of Petroleum Producers (2004). A National Inventory of Greenhouse Gas (GHG), Criteria Air Contaminant (CAC) and Hydrogen Sulphide (H2S) Emissions by the Upstream Oil and Gas Industry. Volumes 1 to 5. Calgary, AB; Gas Research Institute and US Environmental Protection Agency (1996). Methane Emissions from the Natural gas Industry. Volumes 1 to 15. Chicago, IL; US EPA (1999). Methane Emissions from the U.S. Petroleum Industry. EPA Report No. EPA-600/R-99-010, p. 158, prepared by Radian International LLC for United States Environmental Protection Agency, Office of Research and Development. ","2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 2, Chapter 4, Table 4.2.4 ",IPCC TFI TSU 
,,,,,,,,,,,,,,,,,
124678 ,1B2a3 - Transport,1.B.2.a.iii.3 - Transport,NON METHANE VOLATILE ORGANIC COMPOUNDS,2006 IPCC default ,NMVOC emission factor for fugitive emissions from gas operations - Natural gas liquids transport (condensate) ,"Natural Gas Liquids Transport, Condensate ",,Developed country ,,,0.0011 ,Gg per 10^3 m^3 Condensate and Pentanes Plus ,Equation 4.2.1 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories ,Worksheet 1B.2 (sheet 2 of 2) ,"American Petroleum Institute. 2004. Compendium of Greenhouse Gas Emissions Estimation Methodologies for the Oil and Gas Industry. Washington, DC; Canadian Association of Petroleum Producers (1999). CH4 and VOC Emissions From The Canadian Upstream Oil and Gas Industry. Volumes 1 to 4. Calgary, AB; Canadian Association of Petroleum Producers (2004). A National Inventory of Greenhouse Gas (GHG), Criteria Air Contaminant (CAC) and Hydrogen Sulphide (H2S) Emissions by the Upstream Oil and Gas Industry. Volumes 1 to 5. Calgary, AB; Gas Research Institute and US Environmental Protection Agency (1996). Methane Emissions from the Natural gas Industry. Volumes 1 to 15. Chicago, IL; US EPA (1999). Methane Emissions from the U.S. Petroleum Industry. EPA Report No. EPA-600/R-99-010, p. 158, prepared by Radian International LLC for United States Environmental Protection Agency, Office of Research and Development. ","2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 2, Chapter 4, Table 4.2.4 ",IPCC TFI TSU 
,,,,,,,,,,,,,,,,,
124679 ,1B2a3 - Transport,1.B.2.a.iii.3 - Transport,CARBON DIOXIDE,2006 IPCC default ,Carbon dioxide emission factor for fugitive emissions from gas operations - Natural gas liquids transport (LPG) ,"Natural Gas Liquids Transport, Liquefied Petroleum Gas ",,Developed country ,,,0.00043 ,Gg per 10^3 m^3 LPG ,Equation 4.2.1 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories ,Worksheet 1B.2 (sheet 2 of 2) ,"American Petroleum Institute. 2004. Compendium of Greenhouse Gas Emissions Estimation Methodologies for the Oil and Gas Industry. Washington, DC; Canadian Association of Petroleum Producers (1999). CH4 and VOC Emissions From The Canadian Upstream Oil and Gas Industry. Volumes 1 to 4. Calgary, AB; Canadian Association of Petroleum Producers (2004). A National Inventory of Greenhouse Gas (GHG), Criteria Air Contaminant (CAC) and Hydrogen Sulphide (H2S) Emissions by the Upstream Oil and Gas Industry. Volumes 1 to 5. Calgary, AB; Gas Research Institute and US Environmental Protection Agency (1996). Methane Emissions from the Natural gas Industry. Volumes 1 to 15. Chicago, IL; US EPA (1999). Methane Emissions from the U.S. Petroleum Industry. EPA Report No. EPA-600/R-99-010, p. 158, prepared by Radian International LLC for United States Environmental Protection Agency, Office of Research and Development. ","2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 2, Chapter 4, Table 4.2.4 ",IPCC TFI TSU 
,,,,,,,,,,,,,,,,,
124680 ,1B2a3 - Transport,1.B.2.a.iii.3 - Transport,NITROUS OXIDE,2006 IPCC default ,Nitrous oxide emission factor for fugitive emissions from gas operations - Natural gas liquids transport (LPG) ,"Natural Gas Liquids Transport, Liquefied Petroleum Gas ",,Developed country ,,,0.0000000022 ,Gg per 10^3 m^3 LPG ,Equation 4.2.1 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories ,Worksheet 1B.2 (sheet 2 of 2) ,"American Petroleum Institute. 2004. Compendium of Greenhouse Gas Emissions Estimation Methodologies for the Oil and Gas Industry. Washington, DC; Canadian Association of Petroleum Producers (1999). CH4 and VOC Emissions From The Canadian Upstream Oil and Gas Industry. Volumes 1 to 4. Calgary, AB; Canadian Association of Petroleum Producers (2004). A National Inventory of Greenhouse Gas (GHG), Criteria Air Contaminant (CAC) and Hydrogen Sulphide (H2S) Emissions by the Upstream Oil and Gas Industry. Volumes 1 to 5. Calgary, AB; Gas Research Institute and US Environmental Protection Agency (1996). Methane Emissions from the Natural gas Industry. Volumes 1 to 15. Chicago, IL; US EPA (1999). Methane Emissions from the U.S. Petroleum Industry. EPA Report No. EPA-600/R-99-010, p. 158, prepared by Radian International LLC for United States Environmental Protection Agency, Office of Research and Development. ","2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 2, Chapter 4, Table 4.2.4 ",IPCC TFI TSU 
,,,,,,,,,,,,,,,,,
124681 ,1B2a2 - Production,1.B.2.a.iii.2 - Production and Upgrading,METHANE,2006 IPCC default ,"Methane emission factor for fugitive emissions from oil operations - Oil production (conventional oil, fugitives onshore) ","Oil Production, Conventional Oil ",Fugitives (Onshore) ,Developed country ,,,0.0000015-0.0036 ,Gg per 10^3 m^3 conventional oil production ,Equation 4.2.1 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories ,Worksheet 1B.2 (sheet 1 of 2) ,"American Petroleum Institute. 2004. Compendium of Greenhouse Gas Emissions Estimation Methodologies for the Oil and Gas Industry. Washington, DC; Canadian Association of Petroleum Producers (1999). CH4 and VOC Emissions From The Canadian Upstream Oil and Gas Industry. Volumes 1 to 4. Calgary, AB; Canadian Association of Petroleum Producers (2004). A National Inventory of Greenhouse Gas (GHG), Criteria Air Contaminant (CAC) and Hydrogen Sulphide (H2S) Emissions by the Upstream Oil and Gas Industry. Volumes 1 to 5. Calgary, AB; Gas Research Institute and US Environmental Protection Agency (1996). Methane Emissions from the Natural gas Industry. Volumes 1 to 15. Chicago, IL; US EPA (1999). Methane Emissions from the U.S. Petroleum Industry. EPA Report No. EPA-600/R-99-010, p. 158, prepared by Radian International LLC for United States Environmental Protection Agency, Office of Research and Development. ","2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 2, Chapter 4, Table 4.2.4 ",IPCC TFI TSU 
,,,,,,,,,,,,,,,,,
124682 ,1B2a2 - Production,1.B.2.a.iii.2 - Production and Upgrading,CARBON DIOXIDE,2006 IPCC default ,"Carbon dioxide emission factor for fugitive emissions from oil operations - Oil production (conventional oil, fugitives onshore) ","Oil Production, Conventional Oil ",Fugitives (Onshore) ,Developed country ,,,0.00000011-0.00026 ,Gg per 10^3 m^3 conventional oil production ,Equation 4.2.1 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories ,Worksheet 1B.2 (sheet 1 of 2) ,"American Petroleum Institute. 2004. Compendium of Greenhouse Gas Emissions Estimation Methodologies for the Oil and Gas Industry. Washington, DC; Canadian Association of Petroleum Producers (1999). CH4 and VOC Emissions From The Canadian Upstream Oil and Gas Industry. Volumes 1 to 4. Calgary, AB; Canadian Association of Petroleum Producers (2004). A National Inventory of Greenhouse Gas (GHG), Criteria Air Contaminant (CAC) and Hydrogen Sulphide (H2S) Emissions by the Upstream Oil and Gas Industry. Volumes 1 to 5. Calgary, AB; Gas Research Institute and US Environmental Protection Agency (1996). Methane Emissions from the Natural gas Industry. Volumes 1 to 15. Chicago, IL; US EPA (1999). Methane Emissions from the U.S. Petroleum Industry. EPA Report No. EPA-600/R-99-010, p. 158, prepared by Radian International LLC for United States Environmental Protection Agency, Office of Research and Development. ","2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 2, Chapter 4, Table 4.2.4 ",IPCC TFI TSU 
,,,,,,,,,,,,,,,,,
124683 ,1B2a2 - Production,1.B.2.a.iii.2 - Production and Upgrading,NON METHANE VOLATILE ORGANIC COMPOUNDS,2006 IPCC default ,"NMVOC emission factor for fugitive emissions from oil operations - Oil production (conventional oil, fugitives onshore) ","Oil Production, Conventional Oil ",Fugitives (Onshore) ,Developed country ,,,0.0000018-0.0045 ,Gg per 10^3 m^3 conventional oil production ,Equation 4.2.1 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories ,Worksheet 1B.2 (sheet 1 of 2) ,"American Petroleum Institute. 2004. Compendium of Greenhouse Gas Emissions Estimation Methodologies for the Oil and Gas Industry. Washington, DC; Canadian Association of Petroleum Producers (1999). CH4 and VOC Emissions From The Canadian Upstream Oil and Gas Industry. Volumes 1 to 4. Calgary, AB; Canadian Association of Petroleum Producers (2004). A National Inventory of Greenhouse Gas (GHG), Criteria Air Contaminant (CAC) and Hydrogen Sulphide (H2S) Emissions by the Upstream Oil and Gas Industry. Volumes 1 to 5. Calgary, AB; Gas Research Institute and US Environmental Protection Agency (1996). Methane Emissions from the Natural gas Industry. Volumes 1 to 15. Chicago, IL; US EPA (1999). Methane Emissions from the U.S. Petroleum Industry. EPA Report No. EPA-600/R-99-010, p. 158, prepared by Radian International LLC for United States Environmental Protection Agency, Office of Research and Development. ","2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 2, Chapter 4, Table 4.2.4 ",IPCC TFI TSU 
,,,,,,,,,,,,,,,,,
